project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	description
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_VARIABLE	Snapshot	UpdateState	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:123450-123484|(3794,4)-(3794,38)	Libraries/Renderer/oss/ReactNativeRenderer-dev.js:175192-175207|(5472,4)-(5472,19)	Rename Variable Snapshot to UpdateState in 1() at Libraries/Renderer/oss/ReactNativeRenderer-dev.js|1
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_FUNCTION	getCurrentFiberStackAddendum	getCurrentFiberStackAddendum$1	Libraries/Renderer/oss/ReactFabric-dev.js:147344-147695|(4577,0)-(4588,1)	Libraries/Renderer/oss/ReactFabric-dev.js:147107-147460|(4569,0)-(4580,1)	Rename Method 1.getCurrentFiberStackAddendum() renamed to 1.getCurrentFiberStackAddendum$1() at Libraries/Renderer/oss/ReactFabric-dev.js|1.getCurrentFiberStackAddendum
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	ADD_PARAMETER		expirationTime		Libraries/Renderer/oss/ReactFabric-dev.js:166525-166539|(5211,44)-(5211,58)	Add Parameter expirationTime in method 1.appendUpdateToQueue(queue ,update ,expirationTime) atLibraries/Renderer/oss/ReactFabric-dev.js|1.appendUpdateToQueue
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_FUNCTION	insertUpdateIntoQueue	appendUpdateToQueue	Libraries/Renderer/oss/ReactFabric-dev.js:162487-162898|(5110,0)-(5125,1)	Libraries/Renderer/oss/ReactFabric-dev.js:166481-167048|(5211,0)-(5228,1)	Rename Method 1.insertUpdateIntoQueue(queue ,update) renamed to 1.appendUpdateToQueue(queue ,update ,expirationTime) at Libraries/Renderer/oss/ReactFabric-dev.js|1.insertUpdateIntoQueue
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	ADD_PARAMETER		markLegacyErrorBoundaryAsFailed		Libraries/Renderer/oss/ReactFabric-dev.js:340646-340677|(10438,2)-(10438,33)	Add Parameter markLegacyErrorBoundaryAsFailed in method 1.ReactFiberUnwindWork(hostContext ,legacyContext ,newContext ,scheduleWork ,markLegacyErrorBoundaryAsFailed ,isAlreadyFailedLegacyErrorBoundary ,onUncaughtError) atLibraries/Renderer/oss/ReactFabric-dev.js|1.ReactFiberUnwindWork
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	ADD_PARAMETER		onUncaughtError		Libraries/Renderer/oss/ReactFabric-dev.js:340719-340734|(10440,2)-(10440,17)	Add Parameter onUncaughtError in method 1.ReactFiberUnwindWork(hostContext ,legacyContext ,newContext ,scheduleWork ,markLegacyErrorBoundaryAsFailed ,isAlreadyFailedLegacyErrorBoundary ,onUncaughtError) atLibraries/Renderer/oss/ReactFabric-dev.js|1.ReactFiberUnwindWork
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_VARIABLE	getCurrentFiberStackAddendum$1	getCurrentFiberStackAddendum$2	Libraries/Renderer/oss/ReactFabric-dev.js:211572-211658|(6566,4)-(6567,53)	Libraries/Renderer/oss/ReactFabric-dev.js:214840-214926|(6652,4)-(6653,53)	Rename Variable getCurrentFiberStackAddendum$1 to getCurrentFiberStackAddendum$2 in 1() at Libraries/Renderer/oss/ReactFabric-dev.js|1
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	ADD_PARAMETER		renderExpirationTime		Libraries/Renderer/oss/ReactFabric-dev.js:195495-195515|(6087,57)-(6087,77)	Add Parameter renderExpirationTime in method 1.ReactFiberClassComponent.constructClassInstance(workInProgress ,props ,renderExpirationTime) atLibraries/Renderer/oss/ReactFabric-dev.js|1.ReactFiberClassComponent.constructClassInstance
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	REMOVE_PARAMETER	didCaptureError		Libraries/Renderer/oss/ReactFabric-dev.js:258738-258753|(8056,4)-(8056,19)		Remove Parameter didCaptureError in method 1.ReactFiberBeginWork.finishClassComponent(current ,workInProgress ,shouldUpdate ,hasContext ,didCaptureError ,renderExpirationTime) from Libraries/Renderer/oss/ReactFabric-dev.js|1.ReactFiberBeginWork.finishClassComponent
react-native	0125813f213662ec1d9bb4a456f5671adcff9d83	RENAME_VARIABLE	_instance2	_instance	Libraries/Renderer/oss/ReactFabric-dev.js:305960-306147|(9380,16)-(9386,13)	Libraries/Renderer/oss/ReactFabric-dev.js:308727-308913|(9460,16)-(9466,13)	Rename Variable _instance2 to _instance in 1.ReactFiberCompleteWork.completeWork(current ,workInProgress ,renderExpirationTime) at Libraries/Renderer/oss/ReactFabric-dev.js|1.ReactFiberCompleteWork.completeWork
