id	project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	rm_validation	rd_validation	comment	description	tags													
	jquery	ecd8ddea33dc40ae2a57e4340be03faf2ba2f99b	RENAME_VARIABLE	prop	type	external/qunit/qunit.js:44256-44284|(1833,6)-(1833,34)	external/qunit/qunit.js:44734-44762|(1891,6)-(1891,34)				Rename Variable prop to type in 1.6.typeEquiv(a ,b) at external/qunit/qunit.js|1.6.typeEquiv														
	jquery	ecd8ddea33dc40ae2a57e4340be03faf2ba2f99b	RENAME_VARIABLE	data/name.html	name.html	test/unit/ajax.js:39643-39647|(1401,22)-(1401,26)	test/unit/ajax.js:40087-40091|(1398,17)-(1398,21)				Rename Variable data/name.html to name.html in 1.59.1() at test/unit/ajax.js|1.59.1														
	jquery	ecd8ddea33dc40ae2a57e4340be03faf2ba2f99b	RENAME_VARIABLE	data/someFileThatDoesNotExist.html	404.txt	test/unit/ajax.js:39691-39696|(1402,42)-(1402,47)	test/unit/ajax.js:40108-40113|(1399,15)-(1399,20)				Rename Variable data/someFileThatDoesNotExist.html to 404.txt in 1.59.1() at test/unit/ajax.js|1.59.1														
	jquery	ecd8ddea33dc40ae2a57e4340be03faf2ba2f99b	EXTRACT_FUNCTION	push	pushResult	external/qunit/qunit.js:25408-25965|1051	external/qunit/qunit.js:23714-24410|991	TN	FP	Renamed															
	jquery	ecd8ddea33dc40ae2a57e4340be03faf2ba2f99b	EXTRACT_FUNCTION	valid	stringFilter	external/qunit/qunit.js:27230-28400|1136	external/qunit/qunit.js:27258-27636|1137	FN	TP			SubExp,NotSupportedByRM													
	jquery	ecd8ddea33dc40ae2a57e4340be03faf2ba2f99b	EXTRACT_FUNCTION	init	appendInterface	external/qunit/qunit.js:90813-92041|3331	external/qunit/qunit.js:67827-68272|2804	FN	TP			ExtractedOutsideOfAnonymous,Fixable													
	material-ui	41b7049bceaa059388b8db4ed0b17c1f6a46aa1f	RENAME_FUNCTION	isDirty	isEmpty	src/Input/Input.js:865-1050|25	src/Input/Input.js:856-1041|24	TP	TP	Explicitly mentioned in commit		MC													
	material-ui	7796fb2677b547bec838eeaf4c219ffb00825c49	EXTRACT_FUNCTION	render	getStyles	src/checkbox.jsx:828-2932|34	src/checkbox.jsx:831-2076|34	FN	TP			ExtractedOutsideOfAnonymous													
	material-ui	7796fb2677b547bec838eeaf4c219ffb00825c49	MOVE_RENAME_FUNCTION	merge	extend	src/styles/theme-manager.js:1029-1654|27	src/utils/extend.js:372-1069|9	FN	TP			MethodMovedFromOneAnonymousToAnotherAddedFilesAnonymousAndRenamed,NotSupportedByRM													
	material-ui	90c0ea2cd0415cf71c2310330dd38a36300724fd	RENAME_FUNCTION	SimpleList	ComponentProperty	docs/src/pages/guides/composition/ComponentProperty.js:1659-2526|(64,0)-(90,1)	docs/src/pages/guides/composition/ComponentProperty.js:1701-2575|(65,0)-(91,1)				Rename Method SimpleList(props) renamed to ComponentProperty(props) at docs/src/pages/guides/composition/ComponentProperty.js|SimpleList														
	material-ui	a423d45bbe36995dd3f372d07b0af0fc8a6f5ba3	ADD_PARAMETER		options		packages/material-ui/src/Modal/ModalManager.js:2158-2170|(71,14)-(71,26)																		
	material-ui	a423d45bbe36995dd3f372d07b0af0fc8a6f5ba3	INLINE_FUNCTION	findContainer	remove	packages/material-ui/src/Modal/ModalManager.js:475-585|19	packages/material-ui/src/Modal/ModalManager.js:3342-4357|122	FN	TP			ExtractedOutsideOfClass,Fixable													
	material-ui	dedcf74c2fb61a9ff7f1a1529f32dbca999cb678	RENAME_FILE	Classes.js	ClassesNesting.js	docs/src/pages/customization/overrides/Classes.js:0-897|1	docs/src/pages/customization/overrides/ClassesNesting.js:0-894|1	FN	TP			FunctionAndFileBothRenamed													
	meteor	7f2a683e2ca14c3998e8e22c58110aed9b30fdc1	RENAME_FUNCTION	isDynamic	isDynamicOrMap	packages/appcache/appcache-server.js:1139-1365|41	packages/appcache/appcache-server.js:1144-1260|41	FN	TP			FunctionVariableRenamed													
	meteor	adc5e40fb74ad2f1b4bea172a1214d46d2e6686c	EXTRACT_FUNCTION	linkToMeteorScript	_generateScriptLinkToMeteorScript	tools/files.js:38972-40102|1176	tools/files.js:39065-39751|1177	FN	TP			MC, FunctionHasMemberPrefix													
	meteor	adc5e40fb74ad2f1b4bea172a1214d46d2e6686c	EXTRACT_FUNCTION	readLinkToMeteorScript	_getLocationFromScriptLinkToMeteorScript	tools/files.js:40136-40633|1207	tools/files.js:39803-40085|1196	FN	TP			FunctionHasMemberPrefix													
	meteor	cf33eeedbc8a3bcda4115f51032d3f6713336101	EXTRACT_FUNCTION	sizeCheck	eachResource	packages/appcache/appcache-server.js:5474-6361|167	packages/appcache/appcache-server.js:5368-5637|169	FN	TP			ExtractedOutsideOfAnonymous													
	meteor	d4d3df14285e559c92d5294b04be97ebb26517fd	INLINE_FUNCTION	_resolvePkgJsonMain	_resolve	tools/isobuild/resolver.js:9747-10620|304	tools/isobuild/resolver.js:2864-6610|110	FN	TP			MC,SubExp													
	meteor	e710338a9490adbcfd0519d8dbfe1d3b34cb4ab9	RENAME_FILE	stream_client.js	stream_client_sockjs.js	packages/livedata/stream_client.js:0-12403|(1,0)-(387,0)	packages/livedata/stream_client_sockjs.js:0-12403|(1,0)-(387,0)	TP	TP			MC,													
	react	30bc8ef79295c71f5a4fc459c5bbd4b271f6f390	EXTRACT_MOVE_FUNCTION	children	getChildren	packages/react-test-renderer/src/ReactTestRenderer.js:6524-7473|256	packages/react-test-renderer/src/ReactTestRenderer.js:5378-6233|207	FN	TP			TypeScript													
	react	6e258c126696bf50e8df98ae96626f58e54753ef	MOVE_FUNCTION	isAttributeNameSafe	isAttributeNameSafe	packages/react-dom/src/client/DOMPropertyOperations.js:716-1225|25	packages/react-dom/src/shared/DOMProperty.js:4136-4645|121	TP	TP			MC													
	react	6e258c126696bf50e8df98ae96626f58e54753ef	MOVE_FUNCTION	isAttributeNameSafe	isAttributeNameSafe	packages/react-dom/src/server/DOMMarkupOperations.js:832-1341|(27,0)-(43,1)	packages/react-dom/src/shared/DOMProperty.js:4136-4645|(121,7)-(137,1)	TP	FN		Move Method    isAttributeNameSafe(attributeName) from DOMMarkupOperations.js to isAttributeNameSafe(attributeName) at DOMProperty.js														
	react	999b656ed1c94b00fcfd043f54e18ade7553dee0	MOVE_RENAME_FILE	ReactDOMFrameScheduling.js	ReactScheduler.js	packages/shared/ReactDOMFrameScheduling.js:0-7121|(1,0)-(225,0)	packages/react-scheduler/src/ReactScheduler.js:0-7555|(1,0)-(240,0)	TP	TP																
