id	project	commit_id	refactoring_type	name_before	name_after	location_before	location_after	rm_validation	rd_validation	comment	description	tags
87	angular.js	de74034ddf6f92505ccdb61be413a6df2c723f87	EXTRACT_FUNCTION	$parse	addWatchDelegate	src/ng/parse.js:57500-58783|(1783,4)-(1819,5)	src/ng/parse.js:62724-63138|(1928,4)-(1938,5)	TP	TP			
88	angular.js	de74034ddf6f92505ccdb61be413a6df2c723f87	EXTRACT_FUNCTION	addInterceptor	addWatchDelegate	src/ng/parse.js:63058-65129|(1934,4)-(1979,5)	src/ng/parse.js:62724-63138|(1928,4)-(1938,5)	TP	TP			
89	angular.js	de74034ddf6f92505ccdb61be413a6df2c723f87	PARAMETERIZE_VARIABLE					TP				
90	angular.js	e3ece2fad9e1e6d47b5f06815ff186d7e6f44948	EXTRACT_FUNCTION	isArrayLike	isArray	src/Angular.js:4575-5510	src/Angular.js:16933-17011	TN	FP	No new call, just one expression removal from source, mentioned in Commit message		
91	angular.js	e5fb92978f310d690e394bac2c09beeae4a56e03	INLINE_FUNCTION	invokeListeners	$broadcast	src/ng/rootScope.js:57368-58149	src/ng/rootScope.js:56058-57953	FN	FN			
92	angular.js	e9bf93d510a6a0c105d8f5d036ec35c7ce08a588	RENAME_FUNCTION	int	toInt	src/Angular.js:9745-9794|(360,0)-(362,1)	src/Angular.js:9747-9798|(360,0)-(362,1)	TP	TP			
93	angular.js	e9bf93d510a6a0c105d8f5d036ec35c7ce08a588	RENAME_FUNCTION	int	toInt	src/ngMock/angular-mocks.js:15906-15955|(590,0)-(592,1)	src/ngMock/angular-mocks.js:15924-15975|(590,0)-(592,1)	TP	TP			
94	angular.js	fd4f0111188b62773b99ab6eab38b4d2b5d8d727	INTERNAL_MOVE_FUNCTION	$onChanges	$onChanges	test/ng/compileSpec.js:167421-167459	test/ng/compileSpec.js:170400-170438	TN	FP	Added same named code, no code was removed		
95	angular.js	fd4f0111188b62773b99ab6eab38b4d2b5d8d727	RENAME_VARIABLE	deepWatch	isLiteral	src/ng/compile.js:156747-156776	src/ng/compile.js:156747-156776	TP			Rename Variable deepWatch to isLiteral in $CompileProvider.10.initializeDirectiveBindings.1(definition ,scopeName) at src/ng/compile.js|$CompileProvider.10.initializeDirectiveBindings.1	
96	angular.js	ff0e61166d3dca59351e3913e0360c24d1bce99c	EXTRACT_FUNCTION	writeValue	selectUnknownOrEmptyOption	src/ng/directive/select.js:4295-5348	src/ng/directive/select.js:6463-6745	FN	TP			
97	atom	0148ee7d9bc731e98365fbaec53e4b8a5fbfa5c9	MOVE_FUNCTION	checkScrollContainerLeft	checkScrollContainerLeft	spec/text-editor-component-spec.js:36486-36740	spec/text-editor-component-spec.js:32351-32605			Too hard to inspect		
98	atom	062dfdea80861f9c918c99a3f86895f908635862	EXTRACT_FUNCTION	resetUserSettings	_resetSettings	src/config.js:30005-31170	src/config.js:30106-30972	TP	TP			
99	atom	062dfdea80861f9c918c99a3f86895f908635862	RENAME_FUNCTION	readProjectSettingsSync	readProjectSpecificationSync	src/main-process/parse-command-line.js:6991-7469	src/main-process/parse-command-line.js:7108-7799	FN	TP			
100	atom	062dfdea80861f9c918c99a3f86895f908635862	RENAME_FUNCTION	resetUserScopedSettings	resetScopedSettings	src/config.js:38924-39656	src/config.js:38928-39656	TP	TP			
101	atom	113453a219e692fe1e5f0eb3c1c09703daaa0a89	EXTRACT_MOVE_FUNCTION	update	update	src/dock.js:25917-26184	src/dock.js:27541-27594			Too hard to inspect		
102	atom	113453a219e692fe1e5f0eb3c1c09703daaa0a89	EXTRACT_MOVE_FUNCTION	update	update	src/dock.js:27305-27665	src/dock.js:27541-27594			Too hard to inspect		
103	atom	1cdb804824546e8572912df8cf51c9d5072c33ba	RENAME_FUNCTION	addLegacyScopeAlias	setLegacyScopeAliasForNewScope	src/config.js:26055-26168	src/config.js:26455-26582	FN	FN			
104	atom	1cdb804824546e8572912df8cf51c9d5072c33ba	RENAME_FUNCTION	getLegacyScopeDescriptor	getLegacyScopeDescriptorForNewScopeDescriptor	src/config.js:39216-39493	src/config.js:26083-26451	FN	TP			
105	atom	1cdb804824546e8572912df8cf51c9d5072c33ba	RENAME_FUNCTION	removeLegacyScopeAlias	removeLegacyScopeAliasForNewScope	src/config.js:26172-26260	src/config.js:26586-26685	FN	TP			
106	atom	48d36776648149c4170fed630207ef9ec1cb962a	RENAME_FUNCTION	getAtomProjectFilePath	getProjectFilePath	src/project.js:3150-3213	src/project.js:3085-3144	FN	TP	Easy Ref Missed BY RM		
107	atom	48d36776648149c4170fed630207ef9ec1cb962a	RENAME_FUNCTION	onDidReplaceAtomProject	onDidReplace	src/project.js:2873-2974	src/project.js:3004-3081	FN	FN			
108	atom	48d36776648149c4170fed630207ef9ec1cb962a	RENAME_FUNCTION	replaceAtomProject	replace	src/project.js:2628-2869	src/project.js:2628-3000	FN	TP			
109	atom	4dbfadd0d5a603fec292519c9115c857e26201eb	RENAME_FUNCTION	grammarMatchesContents	grammarMatchesPrefix	src/grammar-registry.js:8808-9656	src/grammar-registry.js:9028-9711	FN	TP	Easy Ref Missed BY RM		
110	atom	50088b16c9a4e6fda78ea98430bb0705229883e8	RENAME_FUNCTION	isHorizontalScrollbarVisible	canScrollHorizontally	src/text-editor-component.js:90505-90959	src/text-editor-component.js:90819-91266	FN	TP			
111	atom	50088b16c9a4e6fda78ea98430bb0705229883e8	RENAME_FUNCTION	isVerticalScrollbarVisible	canScrollVertically	src/text-editor-component.js:90087-90501	src/text-editor-component.js:90408-90815	FN	TP	Fixable		
112	atom	547b067f3e03f7d3e7eb162af8f257cfe6f05154	MOVE_CLASS	DummyDirectory	DummyDirectory	spec/project-spec.js:13468-14013	spec/project-spec.js:15307-15852	TN	TN	A function added to the parent		
113	atom	547b067f3e03f7d3e7eb162af8f257cfe6f05154	MOVE_FUNCTION	checkCallback	checkCallback	spec/project-spec.js:29723-29731	spec/project-spec.js:31562-31570	TN	TN	A function added to the parent		
114	atom	547b067f3e03f7d3e7eb162af8f257cfe6f05154	MOVE_FUNCTION	waitForEvents	waitForEvents	spec/project-spec.js:29950-30527	spec/project-spec.js:31789-32366	TN	TN	A function added to the parent		
115	atom	547b067f3e03f7d3e7eb162af8f257cfe6f05154	RENAME_FUNCTION	removeProjectSettings	clearProjectSettings	src/config.js:32439-32526	src/config.js:32439-32525	TN	TN	A function added to the parent		
116	atom	72c30d7e78f94e432874b54e2c9d71857a06211a	RENAME_FUNCTION	isWatched	isWatchedPath	src/path-watcher.js:16717-16771	src/path-watcher.js:16721-16775	FN	TP			
117	atom	7c9463aceae23a9bd7b88b141994d87fd4c08779	MOVE_FUNCTION	getDefaultLocation	getDefaultLocation	spec/workspace-spec.js:11688-11700	spec/workspace-spec.js:12216-12228	TN	TN	A function added to the parent		
118	atom	7c9463aceae23a9bd7b88b141994d87fd4c08779	MOVE_FUNCTION	getElement	getElement	spec/workspace-spec.js:10802-10837	spec/workspace-spec.js:12256-12291	TN	TN	A function added to the parent		
119	atom	7c9463aceae23a9bd7b88b141994d87fd4c08779	MOVE_FUNCTION	getElement	getElement	spec/workspace-spec.js:14752-14787	spec/workspace-spec.js:16140-16175	TN	TN	A function added to the parent		
120	atom	7c9463aceae23a9bd7b88b141994d87fd4c08779	MOVE_FUNCTION	getURI	getURI	spec/workspace-spec.js:11638-11652	spec/workspace-spec.js:12166-12180	TN	TN	A function added to the parent		
121	atom	7c9463aceae23a9bd7b88b141994d87fd4c08779	MOVE_FUNCTION	getURI	getURI	spec/workspace-spec.js:14641-14655	spec/workspace-spec.js:16029-16043	TN	TN	A function added to the parent		
122	atom	7c9463aceae23a9bd7b88b141994d87fd4c08779	MOVE_FUNCTION	opener	opener	spec/workspace-spec.js:11805-11842	spec/workspace-spec.js:12333-12370	TN	TN	A function added to the parent		
123	atom	7ce5b000e448552bb4ba9556c8f38ccfef127162	INLINE_FUNCTION	loadDataOverProcessBoundary	constructor	src/main-process/atom-window.js:5464-5785	src/main-process/atom-window.js:376-5195	FN	TP			
