project	commit_id	refactoring_type	location_before	name_before	location_after	name_after	rm_validation	rd_validation	comment	refactoring	Tags
chart-js	7e5e29e3ee15100de599124b4951d50f3aad5f57	EXTRACT_FUNCTION	src/scales/scale.radialLinear.js:9874-14784	draw	src/scales/scale.radialLinear.js:6385-7881	drawPointLabels					
chart-js	7e5e29e3ee15100de599124b4951d50f3aad5f57	EXTRACT_FUNCTION	src/scales/scale.radialLinear.js:9874-14784	draw	src/scales/scale.radialLinear.js:7884-8811	drawRadiusLine					
chart-js	80bd08bef9f3447738c8fde4c0d0b436312a2cb9	RENAME_FILE	samples/chartColors.js:0-225	chartColors.js	samples/utils.js:0-349	utils.js					
chart-js	889ecd560bba46a81a29ca29d02f0691aaadc8d2	MOVE_FUNCTION	src/core/core.js:1064-1505	legendCallback	src/plugins/plugin.legend.js:1791-2207	legendCallback					
chart-js	9015e72ae1ddebe38ba90a538ee2556a46ee3daa	EXTRACT_FUNCTION	src/core/core.legend.js:3909-7436	fit	src/core/core.legend.js:2093-2224	getBoxWidth					
chart-js	979341ecb094d9c6a95de8a47e7836f01587e7d2	EXTRACT_FUNCTION	src/core/core.controller.js:12139-13011	draw	src/core/core.controller.js:12549-13049	drawDatasets					
chart-js	979341ecb094d9c6a95de8a47e7836f01587e7d2	EXTRACT_FUNCTION	src/core/core.controller.js:8261-9539	update	src/core/core.controller.js:9532-9989	updateLayout					
chart-js	9f3b51a80ce96578718267711e8b65c1ec8c25c1	EXTRACT_MOVE_FUNCTION	src/scales/scale.time.js:3130-5316	determineDataLimits	src/scales/scale.time.js:2924-3168	appendLabel					
chart-js	a0077d41178e576aa473490b13adf2c695bf2faa	RENAME_FUNCTION	src/core/core.controller.js:1784-3058	Controller	src/core/core.controller.js:1773-3347	construct					
chart-js	a0a195f353467a71cbf73aef086249902c53c5a4	EXTRACT_FUNCTION	src/controllers/controller.polarArea.js:2876-3730	update	src/controllers/controller.polarArea.js:3493-4172	_updateRadius					
chart-js	a86c47cf480e8d86ea03a121e9b6552a17aae41d	EXTRACT_FUNCTION	src/core/core.controller.js:19397-21506	eventHandler	src/core/core.controller.js:20075-21160	handleEvent	TP	TP		Extract Method 1.2.handleEvent(e) extracted from 1.2.eventHandler(e) in  1.2 in file src/core/core.controller.js	
chart-js	a86c47cf480e8d86ea03a121e9b6552a17aae41d	RENAME_FUNCTION	src/core/core.tooltip.js:2569-3176	getAveragePosition	src/core/core.tooltip.js:22565-22987	average	FN	TP	Move and Rename?		VN
chart-js	b39c0e1f93518f2dcb1d1cc49ff04cff36d34a46	EXTRACT_FUNCTION	src/core/core.scale.js:14580-24353	draw	src/core/core.scale.js:1143-1653	parseFontOptions	FN	TP			BF
chart-js	b39c0e1f93518f2dcb1d1cc49ff04cff36d34a46	EXTRACT_FUNCTION	src/core/core.scale.js:4554-7121	calculateTickRotation	src/core/core.scale.js:1143-1653	parseFontOptions	FN	TP			BF
chart-js	b39c0e1f93518f2dcb1d1cc49ff04cff36d34a46	EXTRACT_FUNCTION	src/core/core.scale.js:7347-11506	fit	src/core/core.scale.js:10211-10549	handleMargins	FN	TP			BF
chart-js	b39c0e1f93518f2dcb1d1cc49ff04cff36d34a46	EXTRACT_FUNCTION	src/core/core.scale.js:7347-11506	fit	src/core/core.scale.js:1143-1653	parseFontOptions	FN	TP			BF
chart-js	b64cab004669a010025e4641eb7f359c4035f6b9	EXTRACT_FUNCTION	src/core/core.tooltip.js:19539-20513	draw	src/core/core.tooltip.js:19539-19850	drawBackground	TP	TP		Extract Method 1.1.drawBackground(pt ,vm ,ctx ,tooltipSize ,opacity) extracted from 1.1.draw() in  1.1 in file src/core/core.tooltip.js	
chart-js	b92b256872e9d01ef56c9b8d4440cda784662fe0	EXTRACT_FUNCTION	src/core/core.animation.js:2637-4392	startDigest	src/core/core.animation.js:2931-3637	advance	FN	TP			
chart-js	b92b256872e9d01ef56c9b8d4440cda784662fe0	RENAME_FUNCTION	src/core/core.helpers.js:29920-30025	callCallback	src/core/core.helpers.js:29916-30025	callback	FN	TP			
chart-js	c216c0af769c9b12bad39b5b889867d7294dee07	MOVE_FILE	test/controller.bar.tests.js:0-35140	controller.bar.tests.js	test/specs/controller.bar.tests.js:0-35140	controller.bar.tests.js	TP	TP		Move File test/controller.bar.tests.js to test/specs/controller.bar.tests.js	
